internet,netdome,abortion,buyamer,condoms1,deathpen,goodeduc,gun,marijuan,moreinc,politics,pollut,sexmarr,liberal,age,educ,emplmerg,income,gender,citysize
1,6,4,4,5,6,4,3,6,5,3,4,4,3,32,3,4,4,0,3
1,3,1,5,1,6,6,6,1,6,4,1,1,2,27,4,1,2,1,2
1,2,1,2,1,1,2,2,2,6,1,4,1,1,21,4,4,3,0,4
1,4,2,6,1,3,1,2,1,4,5,3,5,2,60,3,1,12,1,1
1,6,6,3,6,4,3,1,2,6,5,6,2,4,28,5,1,9,1,4
1,3,5,5,1,6,2,1,1,1,4,6,4,3,59,5,2,10,0,4
1,6,1,5,4,4,4,1,1,1,1,4,1,3,58,3,4,10,0,4
1,4,5,4,4,2,3,3,3,5,1,4,4,3,45,3,2,10,0,1
1,3,4,5,2,4,4,4,2,5,4,3,1,3,28,3,1,5,0,1
1,5,1,4,3,5,3,6,3,2,4,2,1,2,24,4,1,2,0,1
2,2,5,3,4,3,3,2,4,3,4,5,2,2,43,6,1,13,0,3
2,1,6,5,1,6,1,1,1,3,5,2,5,2,47,6,1,13,0,2
1,1,1,5,4,5,1,1,2,6,3,2,1,3,54,3,1,13,0,3
1,6,1,5,3,6,5,3,1,5,2,3,1,2,44,2,4,1,0,4
1,1,6,3,5,5,2,1,6,5,2,5,1,4,47,3,2,14,0,3
2,2,1,6,1,3,2,1,1,2,3,2,1,2,60,3,1,3,0,1
1,2,6,4,1,6,6,4,1,4,5,2,1,2,34,3,1,5,1,3
1,2,1,5,1,3,1,1,1,6,1,2,1,2,78,3,3,4,0,3
2,1,1,3,1,5,4,1,1,4,2,4,1,2,44,4,1, ,0,4
1,6,4,6,4,6,6,4,1,3,1,4,4,3,65,2,3,10,1,4
1,1,6,6,1,6,6,6,6,4,6,6,1,2,51,4,1,8,1,1
1,2,5,4,2,5,5,3,3,2,4,2,1,3,66,6,3,9,1,2
1,3,5,5,1,6,4,2,1,4,2,4,1,2,42,3,1,11,1,2
1,6,6,6,6,6,5,6,1,3,1,5,1,3,70,4,4,6,0,3
2,2,6,3,1,4,2,4,1,3,1,3,1,1,53,6,1,10,1,3
1,4,1,5,5,4,2,4,4,4,6,4,2,2,65,6,2,10,1,1
1,6,4,6,1,6,4,6,1,1,4,1,1,1,77,4,2,6,1,4
1,2,6,3,4,5,4,1,2,4,2,4,4,3,57,6,1,8,1,4
1,3,4,3,4,3,3,3,2,4,2,4,1,3,51,3,2,8,0,4
1,5,5,6,5,5,2,1,1,4,5,4,6,3,43,3,1,3,0,2
1,4,1,5,1,6,5,1,6,6,6,6,1,1,43,3,1,10,1,2
1,5,1,2,1,6,2,1,1,6,1,5,1,1,28,5,1,5,1,1
2,1,1,6,1,6,6,6,1,4,4,5,1, ,37,4,1, ,1,1
1,6,6,4,2,4,5,1,1, ,1,4,6,2,82,2,4,1,0,3
 ,1,5,4,5,6,5,4,4,6,2,4,4,4,21,4,1,5,1,3
1,5,4,5,5,6,4,4,3,4,1,2,2,3,25,3,1,5,1,4
1,6,1,6,3,5,1,3,1,1,4,5,1,2,61,3,1,3,1,1
1,4,4,5,5,6,5,4,4,1,4,1,5,3,62,3,1,7,1,3
1,6,4,1,3,5,1,1,1,6,1,2,1,3,52,4,2,10,0,3
1,6,3,4,1,6,6,1,1,4,1,1,1,2,56,3,1,5,0,4
1,2,1,5,5,3,3,1,1,6,2,6,3,3,23,4,1,8,0,1
1,6,1,5,1,6,1,1,1,6,1,3,1,2,19,3,4,2,0,1
1,5,4,4,6,5,3,1,5,6,2,3,4,3,29,4,1,5,0,3
2,1,5,5,1,5,4,1,1,5,2,4,1,2,36,4,1,11,0,2
1,2,1,4,1,4,3,2,2,5,2,5,1, ,36,4,1, ,1,2
2,1,4,5,2,6,5,4,4,4,5,4,4,1,29,6,4,15,0,3
1,1,1,1,1,3,5,1,1,4,1,1,1,2,27,6,1,11,0,4
1,3,4,6,4,4,3,2,2,4,4,3,3,2,67,4,3,5,0,3
1,3,3,4,6,3,5,1,1,6,2,1,5,3,23,3,4,2,0,1
2,1,1,3,3,6,3,1,2,5,5,4,1, ,25,4,1, ,1,3
1,2,5,4,6,6,2,1,6,6,1,4,6,4,21,4,4,2,0,2
1,4,5,4,4,4,4,1,1,3,2,5,1,2,67,4,3,4,0,3
1,3,1,4,5,3,3,1,2,6,3,2,1,3,21,4,1,15,1,1
2,1,4,5,5,5,5,1,4,5,2,5,4,5,28,3,4,4,0,2
2,1,2,2,3,4,2,2,2,4,6,4,2,2,36,6,1,15,0,4
1,4,4,5,5,4,1,1,1,6,4,4,1,3,27,5,1,8,0,3
1,3,4,4,1,5,5,1,2,2,4,5,1,2,73,4,3,6,0,2
2,1,1,2,2,6,2,1,1,4,2,1,1,2,32,6,1,13,1,4
1,1,5,4,5,6,4,1,1,5,2,4,1, ,31,6,1, ,0,3
1,6,3,3,6,1,3,1,1, ,6,3,1,2,28,4,1,6,0,2
2,1,6,2,1,6,4,1,2,6,1,4,1,2,60,6,1,15,1,4
2,3,6,3,6,3,4,1,4,6,4,4,6,4,30,5,4,6,0,3
1,5,6,5,6,4,1,1,1,1,3,4,1,3,56,4,1,15,0,1
1,1,6,1,6,1,1,1,6,2,6,6,6,2,71,6,2,15,0,4
1,1,1,6,6,6,6,4,1,6,1,6,5,3,20,4,2,4,0,1
1,1,6,6,6,4,6,2,3,4,1,3,5,1,22,3,4,8,0,3
1,3,1,4,2,4,4,3,1,6,4,4,1,1,33,5,4,2,0,1
1,6,6,6,6,6,5,2,1,6,2,5,1,3,22,4,4,4,0,2
1,1,1,5,3,3,1,1,1,3,4,4,1, ,44,6,1, ,0,3
1,3,5,4,4,5,3,4,2,4,4,4,4,3,39,4,1,11,0,2
1,5,6,4,5,5,5,4,4,5,5,5,4,3,60,5,4,15,0,4
1,4,5,6,2,6,4,5,1,4,5,2,3,1,61,4,3,3,1,3
1,6,5,5,3,6,1,1,6,4,2,3,6,3,71,4,3,7,0,3
1,6,1,6,5,1,2,1,5,6,2,5,5,2,27,5,1,11,0,4
1,6,1,6,1,2,2,4,3,3,4,1,1,1,77,1,3,2,1,4
2,1,6,4,2,5,2,4,4,6,5,4,3,2,24,6,1,1,0,1
1,6,6,5,1,6,2,3,4,1,3,3,1,2,70,4,2,6,0,2
1,4,1,5,1,6,6,1,1,6,1,6,1,1,22,3,4,1,0,2
1,6,3,6,1,4,1,6,2,5,1,1,1,3,34,3,1,5,1,1
1,2,4,1,4,6,6,1,1,2,1,3,1,3,29,5,4,6,0,2
1,3,5,6,5,5,5,6,5,6,1,3,1,2,34,3,1,8,1,3
2,1,3,5,4,2,3,2,3,5,5,4,5,2,58,5,2,14,0,3
1,3,1,6,6,1,1,1,1,6,6,3,1,1,24,3,1,2,1,1
1,4,1,3,3,4,2,2,1,4,1,4,2,2,26,4,4,8,0,1
2,4,1,4,1,2,1,1,1,5,1,4,1,2,45,6,1,10,1,2
1,2,1,5,1,5,4,1,2,6,3,4,1,3,25,4,4,2,0,3
1,3,6,3,4,6,6,6,1,6,5,2,1,3,35,4,1,6,0,3
1,4,1,5,3,6,5,4,1,5,2,4,2,3,33,6,1,10,0,1
1,4,1,3,1,1,4,1,1,4,4,3,1,2,73,4,3,11,0,2
2,1,5,6,5,6,1,1,6,4,3,5,2,3,37,4,1,12,1,3
1,3,3,6,2,5,5,2,2,6,2,5,4,3,32,4,2,6,0,2
1,6,1,2,6,5,4,6,4,4,6,5,4,1,19,3,4,1,0,4
1,6,2,4,4,4,3,3,3,2,3,4,2,2,76,3,3,8,1,4
1,3,5,6,3,4,5,1,5,5,1,4,2,4,36,4,1,6,0,4
2,5,3,4,2,2,3,1,3,5,3,1,1,2,67,4,1,12,0,2
1,1,1,4,1,4,1,1,1,6,2,6,1,3,56,5,1,13,1,3
1,6,3,5,6,6,5,1,1,6,4,5,1,3,44,4,1,2,0,4
1,6,6,6,2,1,1,6,1,5,6,6,1,2,65,6,3,4,0,3
1,2,3,6,5,6,5,6,6,4,4,3,1,3,70,3,1,15,0,3
1,1,4,3,4,2,5,1,1,6,2,1,1,3,48,4,1,10,0,4
1,6,4,1,3,2,6,1,1,1,2,1,1,1,40,4,4,1,0,4
1,1,4,4,6,6,4,3,1,6,2,3,1,3,30,3,1,9,1,4
 ,6,1,6,6,1,2,1,4,4,6,4,1,1,48,4,1,4,0,3
1,3,4,5,5,4,2,1,4,4,4,4,5,3,38,3,4,2,0,4
1,1,1,5,2,2,4,5,1,4,5,3,1,3,59,6,1,10,0,2
2,1,3,4,2,4,4,3,1,6,4,4,1,2,24,5,1,10,1,2
1,5,1,5,1,1,4,2,1,4,5,5,1,3,75,4,4,4,0,3
1,4,3,5,1,5,3,1,1,4,1,1,1,2,64,3,3,3,1,4
1,5,1,5,4,1,2,2,2,4,1,4,1,3,60,4,1,2,1,3
1,1,1,4,5,4,1,3,1,4,5,4,1,2,66,5,1,9,1,4
1,4,4,4,5,5,3,3,4,5,3,3,1,3,70,6,3,5,1,3
2,4,1,5,1,6,3,3,3,6,1,6,1, ,35,5,1, ,1,3
1,5,5,1,5,3,1,1,4,1,1,1,1,1,68,3,2,8,0,4
1,1,6,5,2,3,5,2,1,5,3,5,2,3,27,3,1,5,1,2
1,1,1,5,1,4,1,1,1,1,4,4,1,3,60,4,4,4,1,4
1,4,6,2,6,6,5,6,6,1,1,1,6,1,35,1,4,4,0,3
1,1,1,1,1,5,1,5,1,2,5,5,1,2,69,5,3,6,1,3
1,4,4,5,4,3,4,1,1,6,3,2,1,3,28,4,1,3,0,3
1,2,5,6,2,3,4,4,2,3,3,5,2,4,62,6,2,8,0,4
1,4,2,3,6,6,5,5,1,4,1,5,1,2,57,3,4,12,0,3
1,2,2,6,1,6,5,6,1,3,4,3,1,3,30,3,1,5,1,1
1,5,6,6,1,6,1,1,6,1,4,6,1,1,75,3,3,4,1,4
2,1,1,2,1,2,4,1,1,5,1,4,1,1,38,4,1, ,0,4
1,5,3,6,3,5,4,3,4,5,3,4,1,3,42,4,1,10,0,3
2,1,5,5,5,5,3,4,5,5,5,5,5,4,44,5,1,14,1,4
1,3,1,2,2,1,3,2,1,5,2,2,5, ,33,4,1, ,1,2
1,4,3,6,5,6,2,6,1,1,4,4,1,2,57,3,1, ,1,1
1,3,3,4,2,2,2,1,2,4,2,4,2,4,48,6,1,7,0,2
1,5,1,2,6,4,6,2,6,6,6,6,4,1,24,2,4,1,0,3
1,3,6,3,4,5,5,1,5,3,3,5,4,4,34,4,1,4,0,4
2,1,4,6,5,1,4,2,6,5,2,4,3,3,36,3,1,4,0,3
1,4,5,6,6,6,1,2,2,2,3,5,1,4,68,3,2,2,1,2
1,6,1,6,1,4,4,1,1,1,1,1,1,2,66,3,3,2,0,3
1,1,1,4,4,2,2,2,3,5,3,4,1,3,22,4,2,9,0,1
1,6,1,3,6,1,2,4,1,4,2,5,1,4,47,4,1,7,0,4
1,2,5,6,1,1,3,4,1,6,4,5,1,1,59,3,1,11,0,2
1,2,4,3,2,5,2,2,2,5,2,4,1,3,38,5,1,5,0,1
1,6,1,1,2,4,1,1,3,6,1,3,1,2,44,4,1,4,1,2
1,1,2,1,6,1,1,6,4,1,1,6,1,1,47, ,4,2,1,4
1,6,1,6,6,1,4,1,1,6,2,1,1,1,56,1,4, ,0,1
1,6,3,5,5,6,6,6,1,6,1,2,1,1,28,4,2,6,1,1
1,5,4,5,5,5,2,2,5,6,2,5,4,2,52,3,1,11,1,4
1,6,1,1,5,6,1,5,1,6,1,1,1,3,26,2,4,7,0,4
1,5,4,5,4,5,4,3,3,5,2,4,4,3,39,3,1,11,1,3
1,2,1,3,6,5,3,1,1,6,1,2,1,2,20,3,1, ,0,2
2,2,1,5,1,6,3,3,1,6,5,5,1,1,26,5,1,6,1,2
1,5,6,5,6,6,3,1,6,6,4,2,5,2,39,4,1,10,1,2
1,3,6,4,5,4,3,4,3,6,4,3,2,4,34,3,1,3,0,4
1,6,4,6,6,6,6,6,1,5,1,3,1,3,38,3,1,7,1,4
1,2,6,6,4,6,4,1,2,4,2,2,6,4,50,3,1,11,0,4
1,2,1,4,4,4,4,1,1,4,1,5,2,3,31,5,1,6,0,1
1,3,1,3,1,6,4,3,1,4,5,2,1,2,55,3,1,5,0,2
2,1,5,3,3,5,5,2,5,6,4,5,5,3,28,6,1,14,0,2
1,4,1,4,1,1,4,1,2,5,2,5,3,2,58,4,1,12,1,4
1,6,3,4,1,1,3,5,2,2,1,3,1,3,74,4,3,3,1,3
1,6,1,4,4,6,6,1,4,4,3,3,2,2,48,3,1,1,0,4
1,5,5,6,4,1,5,4,4,3,4,3,1,3,37,2,4,5,0,1
1,6,5,6,1,6,5,1,4,2,1,5,1,1,63,3,3,15,0,1
2,1,6,2,6,1,1,1,6,5,6,6,6,4,58,6,1,12,1,4
1,2,6,5,5,5,2,1, ,3,2,5,5,2,50,6,1,10,0,1
1,2,6,5,1,6,1,1,1,5,5,4,1,3,27,4,1,12,1,4
1,2,1,5,3,6,2,4,1,6,4,4,1,2,31,5,1,9,1,3
1,4,3,3,4,4,4,4,4,4,3,4,3,2,25,2,4,1,0,4
1,6,1,3,1,3,1,1,1,1,3,3,1,1,35,4,1,10,0,4
1,6,6,6,4,4,1,4,1,6,1,6,1,3,42,3,1,5,0,2
1,6,6,4,5,3,4,1,3,1,4,5,5,4,72,6,2,6,0,4
2,1,1,6,6,6,1,4,4,6,1,3,1,3,23,4,1,6,0,2
1,4,1,4,4,1,2,1,1,4,5,5, ,3,40,6,1,15,1,2
1,5,6,6,6,6,5,1,1,3,6,1,6,3,71,6,1,6,1,4
1,6,1,4,4,4,3,1,1,6,2,5,3, ,30,6,1, ,0,2
1,1,6,1,6, , , , , , ,2, ,3,23,6,1,6,0,2
1,5,6,1,2,6,5,1,1,6,4,5,6,1,44,3,1,5,1,4
1,3,1,2,5,2,3,1,4,5,2,4,4,3,41,2,2, ,0,3
1,6,1,2,1,3,6,6,1,1,1,6,5,1,29,3,1,2,0,2
 ,4,3,4,5,5,4,3,4,4,4,4,2,5,31,4,4,7,0,1
1,4,4,5,6,6,1,1,3,2,1,3,6,4,48,3,1,9,0,1
1,1,1,1,1,6,6,6,1,1,1,6,1,3,44,2,1,4,1,2
1,4,6,1,6,5,4,6,2,3,1,2,6, ,24,4,1, ,1,1
1,3,2,5,2,5,3,2,2,5,5,5,1,2,55,4,2,13,0,3
2,2, ,6,2,5,5,5,1,3,5,1,1, ,60,4,1, ,1,4
1,1,3,2,2,5,5,1,1,6,2,5,1,2,35,4,1,10,0,2
1,2,6,3,1,5,4,2,2,3,4,1,1, ,67,6,3, ,0,3
1,2,3,6,3,4,3,5,1,1,4,6,1,4,65,4,3,13,0,4
 ,4,4,3,3,2,3,2,3,5,4,4,3,3,22,3,1,11,0,3
2,1,4,4,1,1,5,6,1,4,4,5,1,2,71,5,3,11,1,3
1,2,1,5,1,6,3,4,1,6,5,6,1,4,59,4,1,10,0,4
1,2,1,3,1,6,3,1,1,3,4,5,1,2,48,6,1,13,1,4
1,4,4,4,3,5,5,4,4,5,4,2,3,3,42,4,1,5,1,3
2,1,6,5,6,6,2,5,1,6,2,5,6,2,28,3,1,12,1,4
1,6,6,4,1,6,4,4,1,1,4,6,1,1,53,3,3,2,1,4
1,6,2,5,3,6,5,1,1,3,1,5,6,4,61,4,1,2,0,4
2,1,1,4,1,1,6,1,1,6,2,6,1, ,36,6,1, ,1,2
1,4,2,5,4,2,4,2,2,5,5,3,1,4,61,6,3,5,1,4
1,2,1,4,1,3,2,1,1,1,4,4,1,2,69,4,3,10,1,4
2,1,6,1,6,3,3,2,6,4,3,4,4,4,22,5,1,1,0,2
2,2,1,5,4,3,4,6,1,5,5,4,1,2,59,3,1,14,0,1
1,4,6,5,4,6,6,1,5,4,2,5,5,3,61,3,1,11,1,3
2,1,4,5,5,4,3,1,4,2,1,4,4,2,47,4,1,8,0,4
1,6,6,6,1,6,5,4,1,3,2,2,6,3,63,3,1,2,1,4
1,2,6,5,4,4,3,3,2,1,2,5,1,2,56,3,1,5,0,1
1,1,6,1,5,6,5,2,3,6,2,3,6,4,28,4,4,5,0,2
1,6,1,6,1,2,4,1,1,4,1,4,1,1,60,1,3,7,1,4
1,3,1,1,4,2,1,1,4,1,2,4,5,2,52,6,1,10,0,4
2,1,5,4,5,6,1,4,2,5,4,4,1,4,46,6,1,15,1,3
2,1,4,4,3,4,4,1,1,3,1,4,3,2,53,5,1,10,0,3
1,1,1,3,6,4,3,1,4,5,1,1,3,1,21,3,2,1,0,2
1,5,2,4,3,1,4,1,1,5,1,3,2,3,27,3,1,4,0,4
1,5,1,2,1,1,5,1,1,4,3,3,1,2,47,4,1,12,0,3
2,1,1,6,3,1,2,2,1,3,2,4,1,2,50,6,1,15,1,2
1,1,2,2,4,4,3,3,2,4,4,3,1,2,33,5,1,11,0,2
1,6,1,5,1,4,3,1,1,6,1,3,1, ,39,4,1, ,1,4
2,5,1,3,2,6,2,1,1,6,3,4,1,1,41,4,4,8,0,1
1,1,2,1,1,4,3,1,4,4,1,2,3,2,25,4,2,1,0,2
1,4,4,4,4,4,4,4,4,4,4,4,4,3,46,6,1,15,1,3
 ,3,6,4,1,6,4,3,1,2,3,3,2,2,55,3,1,11,0,1
1,6,1,3,4,1,3,6,1,6,1,1,1,3,46,3,1,10,1,2
2,1,1,5,1,1,4,1,5,1,3,2,1,3,49,4,4,12,0,1
1,2,6,3,4,6,4,1,4,5,1,5,6,3,47,5,1,15,0,1
1,5,4,5,2,6,4,3,2,3,2,5,3,3,76,4,3,3,0,4
1,4,6,4,4,2,3,3,2,3,5,5,3,4,61,4,1,12,1,4
 ,2,1,4,1, ,3,5,1,1,5,3,1,2,69,3,4,2,0,1
1,5,3,4,3,4,5,1,2,4,2,4,4,3,40,3,1,6,1,2
2,5,5,2,6,5,5,5,5,2,5,5,6, ,29,3,1, ,1,1
2,1,6,4,4,1,6,1,1,6,1,1,1,2,38,5,1,3,0,3
1,4,3,6,5,6,1,1,1,5,1,5,2,4,49,3,1,11,1,4
1,2,6,4,1,6,1,1,3,3,1,2,2,3,32,2,1,10,0,4
1,3,4,4,4,3,3,3,4,4,3,4,3, ,52,4,4, ,1,3
1,3,1,4,1,5,3,2,3,5,5,2,2,2,56,4,1,10,0,1
1,1,6,6,6,2,3,1,5,5,1,2,1,4,57,2,1,8,1,1
1,6,1,5,2,3,4,4,4,3,3,3,3,3,36,1,4,1,1,1
2,1,6,3,4,4,4,2,6,2,4,5,4,4,60,6,1,15,1,2
1,3,4,4,3,5,3,1,2,4,4,5,3,4,47,6,1,8,1,3
1,5,6,4,3,6,5,4,1,1,2,5,1,2,54,3,1,3,0,1
2,1,6,1,5,5,5,1,1,5,1,3,4,4,34,4,2,10,0,3
2,2,6,4,3,6,3,2,4,5,4,3,5,3,29,4,1,3,1,1
1,6,6,5,5,6,5,5,3,6,2,4,4,4,35,3,1,10,1,4
2,1,3,5,5,5,2,2,1,5,1,3,1,3,30,3,2,10,0,1
1,2,5,2,4,5,4,3,3,5,1,1,2,4,28,5,1,10,0,4
1,4,3,3,6,3,6,2,1,3,1,3,6,4,33,4,1,3,0,4
1,2,6,5,3,4,3,1,1,4,6,5,3,2,37,5,2, ,0,2
1,6,4,4,3,6,5,1,1,6,6,6,1,4,60,1,4,4,1,2
1,6,1,6,1,1,1,6,1,6,4,5,1,2,43,4,1,15,1,4
1,6,6,4,4,5,1,1,2,1,4,4,4,1,79,3,3,1,0,4
1,4,1,5,1,1,5,1,1,1,3,2,1,1,70,3,4,2,0,4
1,3,1,4,1,5,4,5,1,6,5,1,1,2,59,3,1,14,1,3
2,1,1,6,4,6,2,1,1,2,2,2,1,3,53,4,1,10,1,1
2,1,6,5,2,5,2,2,4,2,5,1,1,2,65,5,3,12,0,4
1,6,4,6,5,5,2,1,4,2,6,4,1,1,66,3,2,12,1,4
1,3,2,5,1,2,1,1,1,3,4,4,1,3,87,3,3,6,1,1
1,4,6,5,5,6,4,1,6,4,4,4,5,4,51,3,2,13,0,3
2,2,6,1,2,4,3,1,2,3,4,3,1, ,27,5,1, ,1,2
1,6,4,4,2,4,4,2,3,5,3,4,3,4,36,5,1,10,0,4
1,3,2,4,2,5,1,1,1,3,4,4,1,3,65,6,3,12,1,3
1,1,4,4,5,2,3,1,1,6,6,4,1,1,43,5,1, ,1,4
1,6,5,5,5,4,4,6,4,5,2,4,4,3,34,3,1,5,0,2
2,1,6,4,4,4,1,1,4,5,3,5,5,3,31,3,4,11,0,4
1,2,1,5,6, , , , , , ,5, ,2,55,5,1,10,0,4
1,4,6,4,4,6,4,1,1,6,5,6,1,4,43,4,1,9,0,4
2,1,2,4,1,6,5,3,2,5,6,1,1,1,44,6,1,5,1,1
1,1,4,6,1,5,3,1,1,6,2,3,1,2,29,3,1,2,1,1
1,4,1,5,6,6,6,6,4,5,1,2,1,1,46,4,1,8,1,3
1,6,1,1,6,1,1,1,6,6,4,4,1,2,82,3,1,2,0,1
1,1,6,5,5,4,5,4,5,5,5,6,1,3,42,5,1,6,0,4
1,6,1,4,1,2,3,1,2,3,1,5,1,2,50,2,4,8,0,4
2,1,6,1,3,6,6,3,2,6,5,6,6,4,36,5,1,8,0,2
1,1,4,4,1,5,4, ,1,4,4,5,1,2,31,5,4, ,0,2
1,2,4,5,6,6,2,2,2,6,2,6,4,1,21,4,4,2,0,3
2,1,6,4,6,6,3,1,6,3,4,4,6,5,27,4,1,10,1,2
1,2,3,3,5,2,3,3,5,3,5,4,3,4,55,6,4,1,1,3
1,5,4,6,1,4,2,1,1,3,3,3,6,2,56,4,1,6,0,4
1,5,6,5,6,6,5,4,1,4,4,3,5,4,53,4,1,13,0,1
1,1,4,4,2,4,6,3,3,4,4,4,1,2,20,4,1,4,1,3
1,4,3,1,6,6,6,1,4,6,4,6,6,3,23,4,1,1,0,1
2,1,6,4,5,4,1,3,5,6,1,5,6,3,23,6,1,3,0,3
1,1,5,3,6,6,6,3,5,5,2,6,4,3,23,4,4,2,0,4
2,1,6,3,1,6,6,1,1,6,6,6,6,2,25,4,2,6,1,4
1,6,6,5,6,1,2,3,6,6,6,6,6,4,27,4,1,4,1,3
2,1,6,5,2,6,5,3,1,5,6,6,5,3,23,4,1,12,1,4
1,6,1,6,1,5,5,1,1,4,5,5,1,1,76,3,3,1,0,4
1,2,6,6,1,6,5,5,1,2,4,4,1,3,34,3,1,10,1,3
1,6,4,2,2,6,4,6,2,3,4,3,1,2,61,3,1,10,1,3
2,1,1,5,5,3,3,3,1,6,4,3,1,2,25,4,1,4,0,2
2,1,4,4,5,4,2,3,4,6,2,3,4,2,29,4,2,10,0,2
1,5,1,4,1,5,3,3,1,4,3,3,1,2,32,4,1, ,1,2
1,2,5,5,3,6,1,4,6,6,5,1,4,3,29,5,1,11,1,1
2,1,2,6,1,4,6,6,6,3,1,4,1, ,34,3,1, ,1,1
2,1,1,5,4,6,4,2,4,6,5,3,1,2,30,4,4, ,0,3
1,3,1,4,4,6,5,4,4,6,1,4,4,3,25,3,4,1,0,2
1,5,1,6,4,5,1,1,1,6,1,1,2,1,30,4,1,10,0,3
2,1,6,4,6,1,1,1,6,5,6,6,6,4,62,6,1,15,1,4
2,1,6,2,6,6,1,3,4,6,1,6,1,3,33,6,1,12,1,3
1,1,5,4,6,5,5,4,1,5,1,4,3,3,28,3,1,7,0,2
2,1,5,4,6,5,5,5,4,5,4,5,4,4,27,4,1,12,1,3
2,2,1,4,1,1,5,1,1,6,3,2,1,1,21,4,2,2,1,4
2,2,5,6,6,6,4,6,6,4,6,4,6,5,23,4,1,6,0,4
2,2,6,6,3,6,4,5,4,4,4,4,4,1,31,4,1,15,1,3
2,2,5,4,5,5,2,2,2,5,4,5,5,4,23,4,4,1,0,1
1,2,3,4,3,4,2,3,4,4,4,3,2,4,24,4,1,7,0,1
2,1,4,2,4,5,2,3,4,6,6,3,1,3,34,3,4,8,0,2
1,3,4,4,2,5,3,2,1,5,2,4,2,3,26,5,1,6,1,2
1,1,4,5,1,6,6,3,1,1,6,1,1,2,65,4,1,4,0,4
1,4,1,3,4,5,2,1,5,4,3,4,5,3,22,3,1,4,0,3
2,1,1,4,4,4,2,1,1,5,5,4,4,4,27,6,1,8,1,4
1,5,1,4,1,2,3,3,4,5,6,5,1,2,27,3,4,2,0,1
1,6,5,6,1,6,1,1,1,1,1,3,1,2,53,3,2,10,0,4
1,5,2,5,3,3,3,1,4,6,1,3,2,3,28,3,1,8,1,3
1,1,1,4,1,6,2,1,6,5,2,6,1, ,27,4,1, ,1,2
1,5,4,6,4,1,4,3,2,5,3,3,4,3,51,3,4,11,0,4
2,1,6,1,6,4,2,1,5,4,1,5,6,4,27,5,4,6,1,2
1,4,1,4,3,3,5,1,1,4,4,2,1,3,28,4,4,11,0,2
1,3,1,5,6,3,4,1,3,6,4,6,2,3,19,3,1,11,1,4
1,6,1,4,1,3,4,1,1,2,2,2,1, ,34,3,1, ,1,3
2,1,6,6,4,1,1,1,1,1,4,3,3,4,71,6,3,8,0,3
1,1,5,3,2,6,5,1,1,6,5,1,1,2,23,5,1,10,1,1
1,4,1,6,4,4,6,1,1,4,1,4,1,3,31,4,1,3,0,1
1,3,1,5,1,4,1,1,1,4,2,3,4,2,32,6,1,14,0,2
2,1,6,1,2,6,1,1,4,6,2,5,1,2,33,6,1,15,1,3
2,5,1,1,2,6,1,3,4,6,1,4,3,3,27,5,4,7,1,3
1,4,2,5,3,4,4,4,6,5,4,4,3,2,29,4,1,5,1,1
1,4,1,6,3,3,1,2,2,3,5,4,1,2,44,4,4,1,1,1
1,4,1,6,4,1,1,1,1,5,4,5,6,3,26,2,1,7,1,4
1,6,1,6,6,1,4,1,1,3,2,6,5,2,25,4,1,2,1,1
1,4,1,4,1,4,3,3,1,5,2,4,1,3,33,4,1,5,0,2
